2025-12-17 12:19:35.695 [info] [CursorProclistService] Sample 169 created: 26 processes, 31 subsamples
2025-12-17 12:24:35.695 [info] [CursorProclistService] Sample 170 created: 26 processes, 31 subsamples
2025-12-17 12:29:35.696 [info] [CursorProclistService] Sample 171 created: 26 processes, 31 subsamples
2025-12-17 12:34:35.696 [info] [CursorProclistService] Sample 172 created: 26 processes, 31 subsamples
2025-12-17 12:39:35.716 [info] [CursorProclistService] Sample 173 created: 26 processes, 31 subsamples
2025-12-17 12:44:35.695 [info] [CursorProclistService] Sample 174 created: 26 processes, 31 subsamples
2025-12-17 12:49:35.696 [info] [CursorProclistService] Sample 175 created: 26 processes, 31 subsamples
2025-12-17 12:54:35.695 [info] [CursorProclistService] Sample 176 created: 26 processes, 31 subsamples
2025-12-17 12:59:35.697 [info] [CursorProclistService] Sample 177 created: 26 processes, 31 subsamples
2025-12-17 13:04:35.696 [info] [CursorProclistService] Sample 178 created: 26 processes, 31 subsamples
2025-12-17 13:09:35.696 [info] [CursorProclistService] Sample 179 created: 26 processes, 31 subsamples
2025-12-17 13:14:35.695 [info] [CursorProclistService] Sample 180 created: 26 processes, 31 subsamples
2025-12-17 13:19:35.696 [info] [CursorProclistService] Sample 181 created: 26 processes, 31 subsamples
2025-12-17 13:24:35.696 [info] [CursorProclistService] Sample 182 created: 26 processes, 31 subsamples
2025-12-17 13:29:35.715 [info] [CursorProclistService] Sample 183 created: 26 processes, 31 subsamples
2025-12-17 13:34:35.695 [info] [CursorProclistService] Sample 184 created: 26 processes, 31 subsamples
2025-12-17 13:39:35.714 [info] [CursorProclistService] Sample 185 created: 26 processes, 31 subsamples
2025-12-17 13:44:35.696 [info] [CursorProclistService] Sample 186 created: 26 processes, 31 subsamples
2025-12-17 13:49:35.695 [info] [CursorProclistService] Sample 187 created: 26 processes, 31 subsamples
2025-12-17 13:54:35.694 [info] [CursorProclistService] Sample 188 created: 26 processes, 31 subsamples
2025-12-17 13:59:35.714 [info] [CursorProclistService] Sample 189 created: 26 processes, 31 subsamples
2025-12-17 14:04:35.695 [info] [CursorProclistService] Sample 190 created: 26 processes, 31 subsamples
2025-12-17 14:09:35.713 [info] [CursorProclistService] Sample 191 created: 26 processes, 31 subsamples
2025-12-17 14:14:35.695 [info] [CursorProclistService] Sample 192 created: 26 processes, 31 subsamples
2025-12-17 14:19:35.698 [info] [CursorProclistService] Sample 193 created: 26 processes, 31 subsamples
2025-12-17 14:24:35.697 [info] [CursorProclistService] Sample 194 created: 26 processes, 31 subsamples
2025-12-17 14:29:35.695 [info] [CursorProclistService] Sample 195 created: 26 processes, 31 subsamples
2025-12-17 14:34:35.706 [info] [CursorProclistService] Sample 196 created: 26 processes, 31 subsamples
2025-12-17 14:39:35.715 [info] [CursorProclistService] Sample 197 created: 26 processes, 31 subsamples
2025-12-17 14:44:35.696 [info] [CursorProclistService] Sample 198 created: 26 processes, 31 subsamples
2025-12-17 14:49:35.695 [info] [CursorProclistService] Sample 199 created: 26 processes, 31 subsamples
2025-12-17 14:54:35.695 [info] [CursorProclistService] Sample 200 created: 26 processes, 31 subsamples
2025-12-17 14:59:35.695 [info] [CursorProclistService] Sample 201 created: 26 processes, 31 subsamples
2025-12-17 15:04:35.696 [info] [CursorProclistService] Sample 202 created: 26 processes, 31 subsamples
2025-12-17 15:09:35.695 [info] [CursorProclistService] Sample 203 created: 26 processes, 31 subsamples
2025-12-17 15:14:35.696 [info] [CursorProclistService] Sample 204 created: 26 processes, 31 subsamples
2025-12-17 15:19:35.714 [info] [CursorProclistService] Sample 205 created: 26 processes, 31 subsamples
2025-12-17 15:24:35.695 [info] [CursorProclistService] Sample 206 created: 26 processes, 31 subsamples
2025-12-17 15:29:35.695 [info] [CursorProclistService] Sample 207 created: 26 processes, 31 subsamples
2025-12-17 15:34:35.716 [info] [CursorProclistService] Sample 208 created: 26 processes, 31 subsamples
2025-12-17 15:39:35.695 [info] [CursorProclistService] Sample 209 created: 26 processes, 31 subsamples
2025-12-17 15:44:35.696 [info] [CursorProclistService] Sample 210 created: 26 processes, 31 subsamples
2025-12-17 15:49:35.695 [info] [CursorProclistService] Sample 211 created: 26 processes, 31 subsamples
2025-12-17 15:54:35.696 [info] [CursorProclistService] Sample 212 created: 26 processes, 31 subsamples
2025-12-17 15:59:35.695 [info] [CursorProclistService] Sample 213 created: 26 processes, 31 subsamples
2025-12-17 16:04:35.696 [info] [CursorProclistService] Sample 214 created: 26 processes, 31 subsamples
2025-12-17 16:09:35.695 [info] [CursorProclistService] Sample 215 created: 26 processes, 31 subsamples
2025-12-17 16:14:35.696 [info] [CursorProclistService] Sample 216 created: 26 processes, 31 subsamples
2025-12-17 16:19:35.696 [info] [CursorProclistService] Sample 217 created: 26 processes, 31 subsamples
2025-12-17 16:24:35.716 [info] [CursorProclistService] Sample 218 created: 26 processes, 31 subsamples
2025-12-17 16:29:35.695 [info] [CursorProclistService] Sample 219 created: 26 processes, 31 subsamples
2025-12-17 16:34:35.711 [info] [CursorProclistService] Sample 220 created: 26 processes, 31 subsamples
2025-12-17 16:39:35.696 [info] [CursorProclistService] Sample 221 created: 26 processes, 31 subsamples
2025-12-17 16:44:35.695 [info] [CursorProclistService] Sample 222 created: 26 processes, 31 subsamples
2025-12-17 16:49:35.697 [info] [CursorProclistService] Sample 223 created: 26 processes, 31 subsamples
2025-12-17 16:54:35.696 [info] [CursorProclistService] Sample 224 created: 26 processes, 31 subsamples
2025-12-17 16:59:35.708 [info] [CursorProclistService] Sample 225 created: 26 processes, 31 subsamples
2025-12-17 17:04:35.693 [info] [CursorProclistService] Sample 226 created: 26 processes, 31 subsamples
2025-12-17 17:09:35.694 [info] [CursorProclistService] Sample 227 created: 10 processes, 31 subsamples
2025-12-17 17:14:35.706 [info] [CursorProclistService] Sample 228 created: 10 processes, 31 subsamples
2025-12-17 17:19:35.704 [info] [CursorProclistService] Sample 229 created: 10 processes, 31 subsamples
2025-12-17 17:24:35.705 [info] [CursorProclistService] Sample 230 created: 10 processes, 31 subsamples
2025-12-17 17:29:35.694 [info] [CursorProclistService] Sample 231 created: 10 processes, 30 subsamples
2025-12-17 17:34:35.694 [info] [CursorProclistService] Sample 232 created: 10 processes, 31 subsamples
2025-12-17 17:39:35.694 [info] [CursorProclistService] Sample 233 created: 10 processes, 31 subsamples
2025-12-17 17:44:35.694 [info] [CursorProclistService] Sample 234 created: 10 processes, 31 subsamples
2025-12-17 17:49:35.690 [info] [CursorProclistService] Sample 235 created: 10 processes, 31 subsamples
2025-12-17 17:54:35.704 [info] [CursorProclistService] Sample 236 created: 10 processes, 31 subsamples
2025-12-17 17:59:35.693 [info] [CursorProclistService] Sample 237 created: 10 processes, 31 subsamples
2025-12-17 18:04:35.694 [info] [CursorProclistService] Sample 238 created: 10 processes, 31 subsamples
2025-12-17 18:09:35.694 [info] [CursorProclistService] Sample 239 created: 10 processes, 31 subsamples
2025-12-17 18:14:35.694 [info] [CursorProclistService] Sample 240 created: 10 processes, 31 subsamples
2025-12-17 18:19:35.694 [info] [CursorProclistService] Sample 241 created: 10 processes, 31 subsamples
2025-12-17 18:24:35.706 [info] [CursorProclistService] Sample 242 created: 10 processes, 31 subsamples
2025-12-17 18:29:35.694 [info] [CursorProclistService] Sample 243 created: 10 processes, 31 subsamples
2025-12-17 18:34:35.694 [info] [CursorProclistService] Sample 244 created: 10 processes, 31 subsamples
2025-12-17 18:39:35.695 [info] [CursorProclistService] Sample 245 created: 10 processes, 31 subsamples
2025-12-17 18:44:35.694 [info] [CursorProclistService] Sample 246 created: 10 processes, 31 subsamples
2025-12-17 18:49:35.694 [info] [CursorProclistService] Sample 247 created: 10 processes, 31 subsamples
2025-12-17 18:54:35.693 [info] [CursorProclistService] Sample 248 created: 10 processes, 31 subsamples
2025-12-17 18:59:35.694 [info] [CursorProclistService] Sample 249 created: 10 processes, 31 subsamples
2025-12-17 19:04:35.694 [info] [CursorProclistService] Sample 250 created: 10 processes, 31 subsamples
2025-12-17 19:09:35.694 [info] [CursorProclistService] Sample 251 created: 10 processes, 31 subsamples
2025-12-17 19:14:35.694 [info] [CursorProclistService] Sample 252 created: 10 processes, 31 subsamples
2025-12-17 19:19:35.694 [info] [CursorProclistService] Sample 253 created: 10 processes, 31 subsamples
2025-12-17 19:24:35.694 [info] [CursorProclistService] Sample 254 created: 10 processes, 31 subsamples
2025-12-17 19:29:35.694 [info] [CursorProclistService] Sample 255 created: 10 processes, 31 subsamples
2025-12-17 19:34:35.695 [info] [CursorProclistService] Sample 256 created: 10 processes, 31 subsamples
2025-12-17 19:39:35.694 [info] [CursorProclistService] Sample 257 created: 10 processes, 31 subsamples
2025-12-17 19:44:35.694 [info] [CursorProclistService] Sample 258 created: 10 processes, 31 subsamples
2025-12-17 19:49:35.707 [info] [CursorProclistService] Sample 259 created: 10 processes, 31 subsamples
2025-12-17 19:54:35.694 [info] [CursorProclistService] Sample 260 created: 10 processes, 31 subsamples
2025-12-17 19:59:35.694 [info] [CursorProclistService] Sample 261 created: 10 processes, 31 subsamples
2025-12-17 20:04:35.694 [info] [CursorProclistService] Sample 262 created: 10 processes, 31 subsamples
2025-12-17 20:09:35.694 [info] [CursorProclistService] Sample 263 created: 10 processes, 31 subsamples
2025-12-17 20:14:35.694 [info] [CursorProclistService] Sample 264 created: 10 processes, 31 subsamples
2025-12-17 20:19:35.694 [info] [CursorProclistService] Sample 265 created: 10 processes, 31 subsamples
2025-12-17 20:24:35.694 [info] [CursorProclistService] Sample 266 created: 10 processes, 31 subsamples
2025-12-17 20:29:35.695 [info] [CursorProclistService] Sample 267 created: 10 processes, 31 subsamples
2025-12-17 20:34:35.707 [info] [CursorProclistService] Sample 268 created: 10 processes, 31 subsamples
2025-12-17 20:35:17.460 [warning] [BrowserViewMainService] Cannot flush storage data: browser view not created for window 1
2025-12-17 20:35:17.463 [warning] [BrowserViewMainService] Cannot set visibility: browser view not created for window 1
2025-12-17 20:35:17.499 [info] Extension host with pid 3350 exited with code: 0, signal: unknown.
